timestamp,cpu_percent,memory_percent,disk_percent,network_mbps
6/01/2026 8:00,23,45,62,12.5
6/01/2026 9:00,34,48,62,18.3
6/01/2026 10:00,56,52,62,24.7
6/01/2026 11:00,67,58,62,31.2
6/01/2026 12:00,45,54,62,22.1
6/01/2026 13:00,38,51,62,19.8
6/01/2026 14:00,72,61,63,35.4
6/01/2026 15:00,81,68,63,42.1
6/01/2026 16:00,78,65,63,38.9
6/01/2026 17:00,42,52,63,21.3
7/01/2026 8:00,21,44,63,11.2
7/01/2026 9:00,32,47,63,17.8
7/01/2026 10:00,48,51,63,23.4
7/01/2026 11:00,55,56,63,28.9
7/01/2026 12:00,43,53,63,21.7
7/01/2026 13:00,39,50,63,18.5
7/01/2026 14:00,85,72,64,48.2
7/01/2026 15:00,92,78,64,52.6
7/01/2026 16:00,88,74,64,49.1
7/01/2026 17:00,51,55,64,25.3
8/01/2026 8:00,19,43,64,10.8
8/01/2026 9:00,28,46,64,15.2
8/01/2026 10:00,44,50,64,21.9
8/01/2026 11:00,52,54,64,26.4
8/01/2026 12:00,41,52,64,20.3
8/01/2026 13:00,36,49,64,17.1
8/01/2026 14:00,58,57,65,29.8
8/01/2026 15:00,63,60,65,32.4
8/01/2026 16:00,59,58,65,30.1
8/01/2026 17:00,38,50,65,18.9
9/01/2026 8:00,22,44,65,11.9
9/01/2026 9:00,35,48,65,18.7
9/01/2026 10:00,89,75,65,51.3
9/01/2026 11:00,95,82,66,58.7
9/01/2026 12:00,91,79,66,54.2
9/01/2026 13:00,87,76,66,49.8
9/01/2026 14:00,93,81,66,56.1
9/01/2026 15:00,96,85,67,61.4
9/01/2026 16:00,94,83,67,57.8
9/01/2026 17:00,68,62,67,34.5
10/01/2026 8:00,24,45,67,12.8
10/01/2026 9:00,31,47,67,16.4
10/01/2026 10:00,47,51,67,22.8
10/01/2026 11:00,54,55,67,27.3
10/01/2026 12:00,42,52,67,20.9
10/01/2026 13:00,37,49,67,17.6
10/01/2026 14:00,61,58,68,31.2
10/01/2026 15:00,68,63,68,35.8
10/01/2026 16:00,64,60,68,33.1
10/01/2026 17:00,39,51,68,19.4
13/01/2026 8:00,20,43,68,10.5
13/01/2026 9:00,29,46,68,15.8
13/01/2026 10:00,45,50,68,22.1
13/01/2026 11:00,53,54,68,26.9
13/01/2026 12:00,40,51,68,19.7
13/01/2026 13:00,35,48,68,16.8
13/01/2026 14:00,75,66,69,38.9
13/01/2026 15:00,82,71,69,44.2
13/01/2026 16:00,79,68,69,41.3
13/01/2026 17:00,44,53,69,22.6
14/01/2026 8:00,18,42,69,9.8
14/01/2026 9:00,27,45,69,14.6
14/01/2026 10:00,43,49,69,21.2
14/01/2026 11:00,51,53,69,25.8
14/01/2026 12:00,39,50,69,18.9
14/01/2026 13:00,34,47,69,16.2
14/01/2026 14:00,56,56,70,28.4
14/01/2026 15:00,62,59,70,31.7
14/01/2026 16:00,58,57,70,29.5
14/01/2026 17:00,36,49,70,17.8
15/01/2026 8:00,21,44,70,11.4
15/01/2026 9:00,33,47,70,17.2
15/01/2026 10:00,86,73,70,47.8
15/01/2026 11:00,94,81,71,55.9
15/01/2026 12:00,89,77,71,51.2
15/01/2026 13:00,91,79,71,53.6
15/01/2026 14:00,97,86,72,62.8
15/01/2026 15:00,98,88,72,65.3
15/01/2026 16:00,95,84,72,59.1
15/01/2026 17:00,71,64,72,36.7
